COMPANY_NAME,COMPANY_IBAN
Brainbox,DO64 4NWA 1937 0168 6705 9959 6758
Centimia,MU83 PBXM 7850 1701 5050 6201 696R HU
Yacero,FR83 7911 3449 017W GCDW R1JC 531
Shuffledrive,TR96 6779 0Y8C 2ZDF GQW4 R0LM 1Z
Rhyzio,PT68 7065 3553 2080 1695 2655 4
Brightdog,DO81 HOTJ 0157 5835 9732 4279 7614
Dazzlesphere,SM37 S710 8047 991I BIO5 WDY1 LOF
Photobug,FR47 1558 2860 92E6 SDDS D6ST Q66
Leenti,IL71 3848 9021 5270 6729 669
Eayo,CR47 6634 0662 1172 9690 8
Brightdog,SA37 53K0 ULWN 6RDX OZMT HZ3Z
Zava,HR66 7011 7231 0661 3050 3
Cogilith,VG08 CXGS 1430 4902 3694 4873
Zazio,GE70 XS75 9734 2413 7986 68
Blogpad,RO16 BEHU L8D8 HH9U UXIT KU1X
Blogtags,FR45 6186 1944 251G PXZD YM1R B50
Babbleblab,BG85 LPJT 6553 6925 JSTL L8
Yakidoo,LB69 6029 ICU8 NOZI I7ZX CG1G MDVL
Trilith,IS94 6883 8088 2224 6238 2716 71
Skyble,BE25 8423 3867 7270
Feedbug,MR93 6491 9720 2121 0180 1037 116
Kaymbo,MT06 HKPQ 1435 6O9Z YAVR WL4P BQVI B3B
Eire,FR23 5980 8076 04WW DAIT TVOS U36
Digitube,AE03 6057 0683 0556 5623 609
Zazio,LV40 OSIK 27OT BOGN UYDF 4
Ntag,SK48 2655 6240 2082 5101 3299
Centizu,EE59 8495 6876 1957 5898
Blogspan,CY54 0704 6111 PEHE 0ME5 ORUA AQ7L
Youbridge,FR92 7157 3282 31DI TVV4 GOL4 Y26
Quinu,KZ11 057C M5PW FPYC BJFV
Browsezoom,AT96 5633 8342 9118 7170
Jabbersphere,RS51 3611 7425 4259 8770 50
Jatri,GR22 5953 143C 17X0 AM07 DFUJ RGG
Kare,DE90 7789 6502 9054 2554 43
Ailane,GI65 HXST 3XXJ MGZA UKQV ZHE
Zava,MK64 646M BY54 PV83 Z53
Youspan,FR88 5021 2365 18MN GGHW EBL6 433
Avamm,FR66 8313 6870 90MJ FHGJ B96R Z39
Reallinks,GE67 MT06 5928 9151 7833 23
Kanoodle,TN87 8550 8232 8349 8140 1402
Skyndu,BE89 3481 2782 3644
Bubbletube,FR11 5278 4595 945L OFXN NEDG U01
Blogtag,MD87 AFC9 RDPP EY31 HHHE CY96
Livetube,GL95 7166 2084 8771 83
Brightbean,CR98 4186 2198 8228 9534 6
Oyoyo,SA31 223R TTMJ FG8G ZMZT O1LF
Dablist,FR68 0530 4681 286M 2YJB CJIP 022
LiveZ,PS74 FBBK 12QI TBQM ODS8 RBQF AR9G J
DabZ,CZ28 0480 5296 0805 4800 0503
Chatterbridge,IE58 WKAX 1948 0637 9921 51
Bluejam,CY29 1536 7565 6FVR VFEO LNHF PD85
Centizu,SI85 9991 5852 4154 564
Yakijo,SM60 H126 1644 977W SN3E S34F U4T
Skalith,FR46 6982 3403 70CN X3B0 96ZO M85
Rhycero,BE14 9650 8941 1319
Browsetype,HR76 9803 4515 2991 7187 7
Demizz,DK20 5690 0613 4089 20
Zoomzone,PS42 VLVG 5X7P CLHL EKC7 J0U1 I4IU I
Muxo,PL10 1327 7833 7984 2725 1601 7084
Vimbo,LI29 3376 7LTA KH3K HPFT V
Buzzster,LT06 3778 2707 2127 7236
Flashpoint,FR57 0251 2819 12O1 MVEP PF4T C74
Vipe,IS22 2318 8406 5890 4448 5557 32
Kazu,FR43 3448 8548 35IL QZ3S CTU9 K32
Mymm,MR40 9212 4428 3412 2334 4107 631
Kayveo,DO09 S9EM 7992 1763 0394 4431 4330
Mydo,GL50 8111 6897 4795 10
Jabbertype,GE54 JF54 4755 3650 3820 96
Jaxworks,FR50 4595 1277 42PK BFZY JFHO 778
Thoughtmix,BG68 ENIQ 1212 95IK OSIP QY
Devcast,LU55 514E CBR7 X0KI ZCBB
Tagpad,BG26 XGDZ 7989 98YJ IEN8 XK
Aimbu,SA87 372M LMVA GDEZ OJJY XSTM
Digitube,NO06 8683 0604 807
Quinu,MU39 LQBO 9974 0724 5349 2244 733W RN
Meevee,NL94 KBDL 6159 0633 58
Voonyx,FR17 0418 3935 943D JPYZ 9QJQ L84
Skibox,HU75 4283 2542 5157 7426 8147 6679
Eimbee,FR17 4653 3191 18GE RN9P 00P8 573
Kare,MR93 9678 3543 6107 8681 5338 293
Ainyx,FR32 4962 2338 49R4 DUKI AODA D18
Topiczoom,FR95 1321 7337 27NC YZWP J0HB U89
Babblestorm,MD48 CEOY SGQN 1ROU FAOJ LGHQ
Mybuzz,AL52 1262 2263 DPYW RMEY SSBV PQLA
Feedspan,GL54 7132 4128 4156 41
Leexo,TR87 7004 6GDO CB1X 9ZQU Q3HZ TX
Blognation,FR36 6088 6637 84GI LNT1 HO6O N20
Snaptags,NL60 PWVI 6822 3386 76
